city,state_code,race,count
WESTMINSTER,CO,Asian,8668
BEAVERTON,OR,Hispanic or Latino,15452
LAKEWOOD,CO,Asian,7340
SAVANNAH,GA,Hispanic or Latino,9734
FAYETTEVILLE,NC,Black or African-American,90625
FAYETTEVILLE,NC,American Indian and Alaska Native,6603
HIGHLANDS RANCH,CO,Hispanic or Latino,8393
YUBA CITY,CA,American Indian and Alaska Native,2163
LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,KY,White,456451
YORBA LINDA,CA,American Indian and Alaska Native,211
BILLINGS,MT,White,102522
DENTON,TX,White,106278
SILVER SPRING,MD,White,37756
SPRING VALLEY,NV,White,111763
TUSTIN,CA,Black or African-American,2954
KENT,WA,White,67918
LONG BEACH,CA,White,277962
JACKSONVILLE,FL,Hispanic or Latino,80064
TUSCALOOSA,AL,Asian,2733
ELK GROVE,CA,American Indian and Alaska Native,2020
SAN JOSE,CA,American Indian and Alaska Native,13776
PARADISE,NV,Asian,28380
HIGH POINT,NC,White,58004
VICTORVILLE,CA,Asian,7755
SANDY SPRINGS,GA,American Indian and Alaska Native,1574
WICHITA,KS,White,305910
NEW BRAUNFELS,TX,Hispanic or Latino,22522
PEARLAND,TX,White,73349
MILWAUKEE,WI,Hispanic or Latino,110335
VIRGINIA BEACH,VA,White,324924
ROSEVILLE,CA,Asian,18171
UNION CITY,CA,Black or African-American,5508
FAIRFIELD,CA,Asian,22428
LAKELAND,FL,American Indian and Alaska Native,288
BOULDER,CO,American Indian and Alaska Native,767
SPARKS,NV,Asian,7915
CHAMPAIGN,IL,Black or African-American,16163
ASHEVILLE,NC,Hispanic or Latino,4146
WEST PALM BEACH,FL,Hispanic or Latino,26132
BAYONNE,NJ,Black or African-American,7581
SHAWNEE,KS,Asian,3093
HOMESTEAD,FL,Black or African-American,16705
NEW HAVEN,CT,Black or African-American,43356
FAYETTEVILLE,NC,Asian,8949
IOWA CITY,IA,Black or African-American,7219
IOWA CITY,IA,Asian,5533
IOWA CITY,IA,American Indian and Alaska Native,610
LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,KY,Black or African-American,151256
NORTH CHARLESTON,SC,Asian,4181
ARDEN-ARCADE,CA,White,69369
SAN TAN VALLEY,AZ,Black or African-American,2027
LARGO,FL,Asian,3249
CONCORD,CA,American Indian and Alaska Native,1447
CARROLLTON,TX,American Indian and Alaska Native,812
CHANDLER,AZ,Asian,33079
IRVINE,CA,American Indian and Alaska Native,799
MEDFORD,OR,Black or African-American,1201
CAROLINA,PR,Hispanic or Latino,139967
CORAL SPRINGS,FL,Hispanic or Latino,40817
CORAL SPRINGS,FL,Asian,6573
