id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
2026852,209,209,SEA,40,"","",1976,"",DL,2147483647,00166,WB,2016-04-11,2016-04-17,2016-04-11,2016-07-09,Air,Business
5439778,124,124,ORL,25,"","",1991,M,DL,2147483647,00143,WB,2016-04-29,2016-05-09,2016-04-29,2016-07-27,Air,Business
5443219,129,135,SEA,55,"","",1961,M,BA,2147483647,00049,WB,2016-04-29,2016-05-07,2016-04-29,2016-07-27,Air,Business
2092072,577,577,FTL,40,GTM,"",1976,M,NK,2147483647,00244,B1,2016-04-11,2016-04-14,2016-04-11,2016-10-10,Air,Business
5449528,135,135,DET,47,"","",1969,F,DL,2147483647,00019,WB,2016-04-29,2016-05-01,2016-04-29,2016-07-27,Air,Business
5449529,135,135,DET,44,"","",1972,M,DL,2147483647,00019,WB,2016-04-29,2016-05-01,2016-04-29,2016-07-27,Air,Business
2147071,694,694,ATL,37,"","",1979,"",DL,2147483647,00150,B1,2016-04-11,2016-05-11,2016-04-11,2016-10-10,Air,Business
2184600,206,206,ANC,43,HNK,"",1973,F,*GA,2147483647,VPCZL,B1,2016-04-12,2016-04-16,2016-04-12,2016-10-11,Air,Business
2197197,245,245,ANC,30,BEJ,"",1986,M,*GA,2147483647,B8105,B1,2016-04-12,2016-05-29,2016-04-12,2016-10-11,Air,Business
2197198,245,245,ANC,27,BEJ,"",1989,F,*GA,2147483647,B8105,B1,2016-04-12,2016-06-07,2016-04-12,2016-10-11,Air,Business
2198405,245,245,ANC,30,GUZ,"",1986,M,*GA,2147483647,B8105,B1,2016-04-12,2016-04-13,2016-04-12,2016-10-11,Air,Business
2198406,245,245,ANC,38,GUZ,"",1978,M,*GA,2147483647,B8105,B1,2016-04-12,2016-05-10,2016-04-12,2016-10-08,Air,Business
2198407,245,245,ANC,36,GUZ,"",1980,M,*GA,2147483647,B8105,B1,2016-04-12,2016-05-10,2016-04-12,2016-10-11,Air,Business
2198408,245,245,ANC,34,GUZ,"",1982,M,*GA,2147483647,B8105,B1,2016-04-12,2016-05-29,2016-04-12,2016-10-11,Air,Business
2198409,245,245,ANC,41,GUZ,"",1975,M,*GA,2147483647,B8105,B1,2016-04-12,2016-05-30,2016-04-12,2016-10-11,Air,Business
2209262,273,273,ORL,42,"","",1974,M,BA,2147483647,02039,B1,2016-04-11,2016-04-14,2016-04-12,2016-10-10,Air,Business
2215380,464,464,SFR,23,"","",1993,"",QF,2147483647,0073C,B1,2016-04-12,2016-04-14,2016-04-12,2016-10-11,Air,Business
2217986,528,528,FTL,27,TGG,"",1989,F,NK,2147483647,00826,B1,2016-04-12,2016-04-17,2016-04-12,2016-10-11,Air,Business
5654194,694,694,ATL,52,LMA,"",1964,M,DL,2147483647,00150,B1,2016-04-29,2016-05-03,2016-04-29,2016-10-28,Air,Business
4494938,126,135,ATL,51,"","",1965,F,DL,2147483647,00029,WB,2016-04-24,2016-04-28,2016-04-24,2016-07-22,Air,Business
4498456,130,130,MIA,67,"","",1949,M,CM,2147483647,00226,WB,2016-04-24,"",2016-04-24,2016-07-22,Air,Business
4498650,130,130,SFR,58,"","",1958,"",UA,2147483647,00059,WB,2016-04-24,2016-05-07,2016-04-24,2016-07-22,Air,Business
4502656,135,135,DET,48,"","",1968,M,DL,2147483647,00019,WB,2016-04-24,2016-04-27,2016-04-24,2016-07-22,Air,Business
4508573,135,135,CHI,56,"","",1960,M,BA,2147483647,00297,WB,2016-04-24,2016-04-28,2016-04-24,2016-07-22,Air,Business
4509278,135,135,SEA,52,"","",1964,M,BA,2147483647,00049,WB,2016-04-24,2016-05-06,2016-04-24,2016-07-22,Air,Business
4509280,135,135,SEA,31,"","",1985,M,BA,883068185,49,WB,2016-04-24,2016-05-13,2016-04-24,2016-07-22,Air,Business
4509954,135,135,SLC,62,"","",1954,F,DL,2147483647,00051,WB,2016-04-24,2016-04-29,2016-04-24,2016-07-22,Air,Business
4511963,135,135,DET,26,"","",1990,"",DL,2147483647,00019,WB,2016-04-24,2016-04-29,2016-04-24,2016-07-22,Air,Business
4526714,209,209,CHI,37,"","",1979,M,JL,2147483647,00010,WB,2016-04-24,2016-04-27,2016-04-24,2016-07-22,Air,Business
4527197,209,209,SEA,50,"","",1966,"",DL,2147483647,00166,WB,2016-04-24,2016-04-28,2016-04-24,2016-07-22,Air,Business
4527198,209,209,SEA,33,"","",1983,"",NH,2147483647,00178,WB,2016-04-24,2016-05-08,2016-04-24,2016-07-22,Air,Business
4528435,209,209,SEA,43,TKY,"",1973,M,NH,2147483647,00178,B1,2016-04-24,2016-04-30,2016-04-24,2016-10-23,Air,Business
4528436,209,209,SEA,38,TKY,"",1978,M,NH,2147483647,00178,B1,2016-04-24,2016-04-30,2016-04-24,2016-05-23,Air,Business
